ID,CLAVE_BARRIO,NOMBRE_BARRIO,CLAVE_MUNICIPIO,CLAVE_SECTOR,CLAVE_CORREGIMIENTO,AGUA_TODOS_USOS_(L/HAB/DIA),AGUA_TODOS_USOS_(L/HAB/AÑO)
1,8371001012,Gaitan,837,1,001,68,24820
2,8371008011,La Esperanza,837,1,008,68,24820
3,8371008002,Buenos Aires,837,1,008,68,24820
4,8371006008,24 de Diciembre,837,1,006,68,24820
5,8371001024,Manizales,837,1,001,68,24820
6,8371001010,Baltazar,837,1,001,68,24820
7,8371001019,Santa Fe,837,1,001,68,24820
8,8371008005,Escobar,837,1,008,68,24820
9,8371001015,Gonzalo Mejia,837,1,001,68,24820
10,8371001013,Buenos Aires,837,1,001,68,24820
11,8371001002,Brisas Del Mar,837,1,001,68,24820
12,8371001005,Ciudadela Bolivar,837,1,001,68,24820
13,8371001001,El Bosque,837,1,001,68,24820
14,8371008003,Barrios Unidos,837,1,008,68,24820
15,8371001023,Hoover Quintero,837,1,001,68,24820
